蚌津散,,,《洞天奥旨》卷十六,,,水中大蚌。,置大碗中，任其口开，用冰片2-3分、当门麝2-3分为末，挑入蚌口内，即浆水流入碗内，再加冰片、麝香少许。,,汤泡火烧。,,,,,,,,如所扫之处，不肯干，必溃烂，将蚌壳烧灰存性为末，入冰、麝少许掺之妙。,,https://db.yaozh.com/fangji/10004001.html
蚌壳散,,,方出《便易经验集》，名见《卫生鸿宝》卷五,,,蚌壳（煅）5钱，轻粉5分，冰片1分。,上为末。,,火革疮。男女乳上湿疮，脓血淋漓成片，飞红无靥，痛痒不休。,,,,,,,,用银花汤调，搽2-3次，结靥收功。,,https://db.yaozh.com/fangji/10004002.html
蚌霜散,,,《医学人门》卷八,,,蚌粉、百草霜各等分,上药为末。,,伤损大吐血，或因酒食饱，低头掬损，吐血过多，并血妄行，口鼻俱出，但声未失者；外用于鼻衄，舌衄及炙疮出血。,,,,,,,,每次3～6克，用糯米饮调服；侧柏枝研汁尤效。鼻、舌及灸疮出血，掺患处。,,https://db.yaozh.com/fangji/10004003.html
棒疮疔甲膏,棒疮疔痂膏,,《回春》卷八,,,乳香3钱，没药3钱，孩儿茶3钱，雄黄3钱，轻粉1钱，官粉1两，黄蜡1两。,先将猪脂入锅炼出油冷定，却将诸药研成细末，入油搅匀，随将黄蜡化开投入一处，又搅匀，用油单纸摊成膏药。,,止疼痛，收血水，消肿，去疔甲。主治杖疮。,,,,,,,,棒疮疔痂膏（《济阳纲目》卷八十八）。,,https://db.yaozh.com/fangji/10004004.html
棒疮膏,,,《古方汇精》卷二,,,麻油4两，鸡子黄3个，血余5钱，白蜡5钱，冰片3分。,用麻油煎滚，入鸡子黄熬枯捞去，再入洗净血余，又熬枯捞去，下白蜡、冰片，和匀，冷透。,,棒疮。,,,,,,,,薄敷患处。,,https://db.yaozh.com/fangji/10004005.html
棒疮膏,,,《外科启玄》卷十二,,,文蛤3斤。,用柳木层甑子内蒸软，晒干，如此三蒸三晒，干为细末。,,生肌止痛。主治杖疮。,,,,,,,,用熟桐油调摊油纸上贴之。,,https://db.yaozh.com/fangji/10004006.html
棒疮膏,,,《疡科选粹》卷八,,,香油3斤，大黄1斤半，头发1斤4两，血竭1两5钱，孩儿茶1两，冰片5钱，乳香2两，没药2两，轻粉2两，阿魏5钱，珍珠、定粉1斤。,上将血竭等9味研为细末，又将芝麻油熬熟，将大黄切作片，煎枯去滓后，入头发熬枯去滓，候滴水成珠。再加定粉，又熬一刻，将前9味药徐徐下之，搅匀为度。,,棒疮。,,,,,,,,方中珍珠用量原缺。,,https://db.yaozh.com/fangji/10004007.html
棒头丹,,,《外科证治全书》卷四,,,大黄1两，没药（去油）5钱，乳香（去油）5钱，樟脑5钱，儿茶3钱。,上为末，蜜调。,,止痛。主治杖伤，杖重临危者。,,,,,,,,敷患处。,,https://db.yaozh.com/fangji/10004008.html
包心菜粥,,,《民间方》,,,包心菜500克， 粳米50克。,先将包心菜水煮半小时，捞出菜后，入米煮粥。,,缓急止痛。适用于胃脘拘急疼痛，对胃及十二指肠溃疡有止痛和促进溃疡愈合作用。,,,,,,,,日服2次。温热服。,,https://db.yaozh.com/fangji/10004009.html
薄肤膏,,,《朱仁康临床经验集》,,,"密陀僧末620克,白及末180克,轻粉125克,枯矾30克,凡土林1.87千克。",先将轻粉研细，至不见星为度，逐次加入密陀僧、白及末，最后加入枯矾研极细，加入凡士林调成油膏。,,薄肤，止痒。主治慢性湿疹，皮损较厚者。,,,,,,,,涂擦于皮损处。,,https://db.yaozh.com/fangji/10004010.html
薄荷白檀汤,,,《宣明论》卷三,,,白檀1两，荆芥穗2两，薄荷叶4两，栝楼根1两，甘草4两（炙），白芷2两，盐4两，缩砂仁半两。,上为末。,,消风化痰，清头目。主治风壅头目眩，鼻塞、烦闷、精神不爽。,,,,,,,,本方方名，《普济方》引作“新补薄荷白檀汤”。,,https://db.yaozh.com/fangji/10004011.html
薄荷馎饦,,,《圣济总录》卷一八九,,,紫薄荷（新者）1握（捣取汁），面4两。,,,反胃，朝食暮吐。,,,,,,,,上药和作博托，煮熟，空腹食之。,,https://db.yaozh.com/fangji/10004012.html
薄荷茶,,,《圣惠》卷九十七,,,薄荷30叶，生姜1分，人参半两（去芦头），石膏1两（捣碎），麻黄半两（去根节）。,上锉。,,伤寒。鼻塞头痛，烦躁。,,,,,,,,先以水1大盏，煎至6分，去滓，分2次点茶热服。,,https://db.yaozh.com/fangji/10004013.html
薄荷丹,,,《直指》卷二十二,,,杜薄荷1两，皂角末（不蛀者，去弦皮）1两，连翘1两，何首乌（米泔浸1宿）1两，蔓荆子1两，京三棱（煨）1两，荆芥1两。,上为末，好豉2两半，以米醋煎沸酒豉，淹令软，研如糊为丸，如梧桐子大。,,解瘰疬风热之毒，自小便去。,,,,,,,,每服30丸，食后熟水送下，日1次。,,https://db.yaozh.com/fangji/10004014.html
薄荷点汤,,,《摄生众妙方》卷六,,,薄荷叶10两，瓜蒌根1两（生用），荆芥穗（生用）4两，甘草5两1分（生用），砂仁3两（生用）。,上为细末。,,风壅咽喉不利，痰实烦渴，困倦头昏，或发潮热，及一切风痰疮疥。,,,,,,,,每4两药末入霜梅末1两，研匀，以瓷器贮。每服1钱，清茶点吃。,,https://db.yaozh.com/fangji/10004015.html
薄荷甘桔杏子汤,,,《医方简义》卷二,,,薄荷1钱，甘草5分，桔梗1钱5分，杏仁（去皮尖）3钱。,,,冬温初起，咳嗽，微热微汗，脉浮大者。,,,,,,,,水煎服。,,https://db.yaozh.com/fangji/10004016.html
薄荷煎,,,《御药院方》卷一,,,薄荷1斤（取头末2两），川芎半两（取末2钱），脑子半钱（研），甘草半两（取末2分半），缩砂仁半两（取末2分）。,上药都拌匀，于药末内称出半两为衣，用白沙生蜜5两半和成剂，用明净水于器盒内盛，上面放药吞，夜不歇，每两裁作20块。,,除风热、消疮疹。主治头目昏眩，口舌生疮，痰涎壅塞，咽喉肿痛。,,,,,,,,每服3块，细嚼噙化亦得。,,https://db.yaozh.com/fangji/10004017.html
薄荷煎,,,《寿亲养老》卷四,,,龙脑薄荷叶1斤，川芎3两，桔梗5两（去芦），甘草4两，防风3两，缩砂仁1两。,上为末。,,消风热，化痰涎，利咽膈，清头目。,,,,,,,,炼蜜为剂服。,,https://db.yaozh.com/fangji/10004018.html
