电话：暂无,北京市.东城区.新中街乙12号新中园写字楼A座3层A316,经纬四极传媒文化公司,,"腾讯高德坐标：39.936729689587,116.44137261741","百度地图坐标：39.942527664864,116.44792206254"
电话：18500482297,北京市.东城区.安定门街道北下洼子乙7号(分司厅小学),过云间文化公司(乙七号),,"腾讯高德坐标：39.943779591916,116.4043898793","百度地图坐标：39.950114746642,116.41075899568"
电话：暂无,北京市.朝阳区.酒仙桥路4号D03楼2层,798文化公司,"gps硬件坐标：39.9423745726,116.398141895","腾讯高德坐标：39.984367833586,116.49427268611","百度地图坐标：39.990451580908,116.50076417393"
电话：暂无,北京市.朝阳区.东三环北路丙2号天元港中心A座A501,北京豪邦影视文化公司,,"腾讯高德坐标：39.95570386439,116.46002785462","百度地图坐标：39.96135303682,116.46664350146"
电话：暂无,北京市.通州区.华联商厦(武夷花园店)通胡大街甲3号B1,北京芝华安方体育文化公司,,"腾讯高德坐标：39.919209917399,116.70043449018","百度地图坐标：39.924854439353,116.70703823337"
电话：010-68316677,北京市.西城区.西直门外大街135号院1,北京北展演艺文化公司,,"腾讯高德坐标：39.941028451444,116.34312600566","百度地图坐标：39.946678645712,116.34972837755"
电话：暂无,北京市.海淀区.天秀路中国农业大学附属中学,北京三正饮食文化公司,,"腾讯高德坐标：40.021124930927,116.27495501604","百度地图坐标：40.027461272947,116.28133800351"
电话：暂无,北京市.海淀区.紫竹院南路7号首汽写字楼2楼,卡尔博学文化公司,,"腾讯高德坐标：39.936278554222,116.3191763565","百度地图坐标：39.942111119775,116.32571382869"
电话：暂无,北京市.朝阳区.十里堡甲3号都会国际10层,天扬无限影视文化公司,,"腾讯高德坐标：39.915067911444,116.50171269643","百度地图坐标：39.921264468707,116.50813035085"
电话：暂无,北京市.朝阳区.八里庄街道十里堡都会国际8层E室,圣艺佳禾文化公司,,"腾讯高德坐标：39.915137911121,116.50177269603","百度地图坐标：39.921335348684,116.50818999427"
